mode,gqa,B,Hq,Hkv,S,D,d_pad,total_cycles,mxu_util,vpu_util,hbm_bw_gbs,device_us,avg_us,util_src,flops,bytes,fused,trace_dir,error
prefill,0,1,1,1,128,128,0,6280,0.51,,73.1,1.7933,46.841,analytic,8388608,131072,True,tb_logs/prefill_gqa0_B1_Hq1_Hkv1_S128_D128,
prefill,0,1,1,1,256,128,0,7157,1.79,,128.3,2.0436,43.878,analytic,33554432,262144,True,tb_logs/prefill_gqa0_B1_Hq1_Hkv1_S256_D128,
prefill,0,1,1,1,512,128,0,8914,5.74,,206.0,2.5455,50.413,analytic,134217728,524288,True,tb_logs/prefill_gqa0_B1_Hq1_Hkv1_S512_D128,
prefill,0,1,1,1,1024,128,0,17844,11.48,,205.8,5.0954,49.69,analytic,536870912,1048576,True,tb_logs/prefill_gqa0_B1_Hq1_Hkv1_S1024_D128,
prefill,0,1,1,1,2048,128,0,44877,18.26,,163.7,12.8146,37.743,analytic,2147483648,2097152,True,tb_logs/prefill_gqa0_B1_Hq1_Hkv1_S2048_D128,
prefill,0,1,4,4,128,128,0,11231,1.14,,163.5,3.207,43.829,analytic,33554432,524288,True,tb_logs/prefill_gqa0_B1_Hq4_Hkv4_S128_D128,
prefill,0,1,4,4,256,128,0,13136,3.9,,279.5,3.7511,33.69,analytic,134217728,1048576,True,tb_logs/prefill_gqa0_B1_Hq4_Hkv4_S256_D128,
prefill,0,1,4,4,512,128,0,17552,11.67,,418.4,5.012,48.06,analytic,536870912,2097152,True,tb_logs/prefill_gqa0_B1_Hq4_Hkv4_S512_D128,
prefill,0,1,4,4,1024,128,0,48313,16.96,,304.0,13.7959,41.92,analytic,2147483648,4194304,True,tb_logs/prefill_gqa0_B1_Hq4_Hkv4_S1024_D128,
prefill,0,1,4,4,2048,128,0,156718,20.91,,187.5,44.7511,59.92,analytic,8589934592,8388608,True,tb_logs/prefill_gqa0_B1_Hq4_Hkv4_S2048_D128,
prefill,0,1,8,8,128,128,0,17728,1.44,,207.1,5.0623,48.055,analytic,67108864,1048576,True,tb_logs/prefill_gqa0_B1_Hq8_Hkv8_S128_D128,
prefill,0,1,8,8,256,128,0,21086,4.86,,348.3,6.0212,47.757,analytic,268435456,2097152,True,tb_logs/prefill_gqa0_B1_Hq8_Hkv8_S256_D128,
prefill,0,1,8,8,512,128,0,28483,14.38,,515.7,8.1332,50.241,analytic,1073741824,4194304,True,tb_logs/prefill_gqa0_B1_Hq8_Hkv8_S512_D128,
prefill,0,1,8,8,1024,128,0,89216,18.36,,329.3,25.4757,52.44,analytic,4294967296,8388608,True,tb_logs/prefill_gqa0_B1_Hq8_Hkv8_S1024_D128,
prefill,0,1,8,8,2048,128,0,305512,21.45,,192.3,87.2394,113.364,analytic,17179869184,16777216,True,tb_logs/prefill_gqa0_B1_Hq8_Hkv8_S2048_D128,
